position,player,x,y,cluster,league,age,dominant_foot
DF,Adam Marušić,4.8877225,6.923209,0,Serie A,28,82% right footed
DF,Adam Masina,7.2909703,-3.6363564,2,Premier League,27,83% left footed
DF,Erhan Mašović,-10.965417,-3.5352762,0,Bundesliga,22,83% right footed
DF,Joël Matip,-7.720493,16.239914,3,Premier League,29,86% right footed
DF,Konstantinos Mavropanos,-7.148004,4.7770042,3,Bundesliga,23,81% right footed
DF,Pasquale Mazzocchi,16.648748,-0.72247463,2,Serie A,26,93% right footed
DF,Kevin Mbabu,16.095125,-6.3427525,2,Bundesliga,26,85% right footed
DF,Gary Medel,-16.000708,4.550512,0,Serie A,33,89% right footed
DF,Facundo Medina,-3.6032214,13.204715,3,Ligue 1,22,91% left footed
DF,Ben Mee,-19.346132,-7.824417,0,Premier League,31,85% left footed
DF,Birger Meling,20.428202,-7.0174017,2,Ligue 1,26,75% left footed
DF,Houboulang Mendes,5.848144,0.16034332,2,Ligue 1,23,85% right footed
DF,Nuno Mendes,17.350006,-5.093369,2,Ligue 1,19,87% left footed
DF,Thiago Mendes,-1.1413019,11.560034,3,Ligue 1,29,89% right footed
DF,Batista Mendy,5.2379365,-3.233301,2,Ligue 1,21,88% right footed
DF,Ferland Mendy,22.87879,-3.7733443,1,La Liga,26,76% left footed
DF,Gideon Mensah,19.927294,-12.195754,1,Ligue 1,23,89% left footed
DF,Quentin Merlin,21.833895,-10.029192,1,Ligue 1,19,92% left footed
DF,Thomas Meunier,25.603815,-7.3259134,1,Bundesliga,29,89% right footed
DF,Mexer,-20.216373,2.9622016,0,Ligue 1,32,85% right footed
DF,Marco Meyerhöfer,9.906765,0.7501146,2,Bundesliga,25,92% right footed
DF,Nikola Milenković,-13.5683,10.607137,3,Serie A,23,88% right footed
DF,Éder Militão,-8.835854,7.629404,3,La Liga,23,92% right footed
DF,Tyrone Mings,-19.86439,4.7299657,0,Premier League,28,82% left footed
DF,Jorge Miramón,11.201331,-0.67655003,2,La Liga,32,95% right footed
DF,Tyrick Mitchell,7.7039766,-9.059444,2,Premier League,21,90% left footed
DF,Stefan Mitrović,-22.322748,-0.84602547,0,La Liga,31,50% left footed
DF,Maximilian Mittelstädt,15.359378,-12.344468,2,Bundesliga,24,81% left footed
DF,Johan Mojica,20.117804,-1.2962351,1,La Liga,28,94% left footed
DF,Nahuel Molina,29.322659,0.4491097,1,Serie A,23,90% right footed
DF,Gonzalo Montiel,19.909924,0.90164965,1,La Liga,24,93% right footed
DF,Alberto Moreno,30.278982,1.271918,1,La Liga,29,95% left footed
DF,Álex Moreno,19.348824,-6.047263,2,La Liga,28,91% left footed
DF,Harold Moukoudi,-12.957812,2.484499,0,Ligue 1,23,81% right footed
DF,Nordi Mukiele,14.65657,-8.634675,2,Bundesliga,23,92% right footed
DF,Mert Müldür,12.617581,-0.6529638,2,Serie A,22,93% right footed
DF,Marshall Munetsi,0.10786586,-2.577996,2,Ligue 1,25,84% right footed
DF,Aihen Muñoz,5.842979,-4.1249533,2,La Liga,23,90% left footed
DF,Jeison Murillo,-14.570562,11.151291,3,La Liga,29,74% right footed
DF,Jacob Murphy,29.801996,1.7033502,1,Premier League,26,79% right footed
DF,Nicola Murru,7.3749633,-6.9918227,2,Serie A,26,92% left footed
DF,Vitaliy Mykolenko,10.396966,-4.636023,2,Premier League,22,96% left footed
DF,Obite N'Dicka,-6.4721537,-2.8139677,0,Bundesliga,21,85% left footed
DF,Vital N'Simba,19.32054,-10.174874,2,Ligue 1,28,92% left footed
DF,Nacho,-20.391264,8.585036,0,La Liga,31,79% right footed
DF,Mickael Nade,-4.504302,-6.5657654,0,Ligue 1,22,89% left footed
DF,Nahitan Nández,26.878237,-0.452886,1,Serie A,25,92% right footed
DF,Ximo Navarro,4.9813166,0.07281215,0,La Liga,31,89% right footed
DF,Jesús Navas,32.244408,-6.9757614,1,La Liga,35,93% right footed
DF,Wilfred Ndidi,1.3585762,-1.3172952,2,Premier League,24,88% right footed
DF,Luca Netz,27.077768,3.7840848,1,Bundesliga,18,89% left footed
DF,Carlos Neva,9.72013,4.126417,2,La Liga,25,90% left footed
DF,Jeremy Ngakia,5.7205667,-10.532673,2,Premier League,20,92% right footed
DF,Moussa Niakhate,-5.5911994,0.69640946,0,Bundesliga,25,84% left footed
DF,Dimitris Nikolaou,-14.585103,2.5904922,0,Serie A,22,78% left footed
DF,Joakim Nilsson,-19.21562,-1.8265983,0,Bundesliga,27,85% left footed
DF,Bram Nuytinck,-16.962584,-0.48823684,0,Serie A,31,71% left footed
DF,Gerzino Nyamsi,-18.154291,8.386559,0,Ligue 1,24,85% right footed
DF,Joel Obi,27.42975,6.416723,2,Serie A,30,78% left footed
DF,Bastian Oczipka,21.042498,-2.3321438,1,Bundesliga,32,79% left footed
DF,Álvaro Odriozola,22.294313,-0.73595625,1,Serie A,25,93% right footed
DF,Angelo Ogbonna,-22.90811,1.114799,0,Premier League,33,63% left footed
DF,Florent Ogier,-17.396753,5.781882,0,Ligue 1,32,81% right footed
DF,Brian Oliván,6.9353223,1.9823354,0,La Liga,27,94% left footed
DF,Mathías Olivera,11.570256,-12.03801,2,La Liga,23,90% left footed
DF,Warmed Omari,-14.644192,16.358425,3,Ligue 1,21,84% right footed
DF,Willi Orban,-14.033124,12.487959,3,Bundesliga,28,86% right footed
DF,Reece Oxford,-17.744324,-4.5097685,0,Bundesliga,22,87% right footed
DF,Helibelton Palacios,3.622409,-6.047347,2,La Liga,28,89% right footed
DF,Nicolas Pallois,-10.915578,-2.2273383,0,Ligue 1,33,88% left footed
DF,Erik Palmer-Brown,-13.428754,-2.0062149,0,Ligue 1,24,82% right footed
DF,Fabiano Parisi,14.909556,-14.738175,2,Serie A,20,95% left footed
DF,Patric,-13.795629,16.803596,3,Serie A,28,86% right footed
DF,Gabriel Paulista,-17.305876,-3.6234465,0,La Liga,30,86% right footed
DF,Benjamin Pavard,-3.1982784,14.749213,3,Bundesliga,25,95% right footed
DF,Mads Pedersen,27.375599,5.132919,2,Bundesliga,24,86% left footed
DF,Alfonso Pedraza,26.932224,-2.434635,1,La Liga,25,93% left footed
DF,Pedrosa,13.616064,-0.26176372,2,La Liga,23,88% left footed
DF,Peter Pekarík,9.050791,2.9141216,0,Bundesliga,34,96% right footed
DF,Luca Pellegrini,17.110878,-1.2936519,2,Serie A,22,88% left footed
