position,player,x,y,cluster,league,age,dominant_foot
DF,Denis Zakaria,14.907436,-14.785464,2,Bundesliga,24,98% right footed
DF,Joseba Zaldúa,1.8493301,-5.686811,2,La Liga,29,91% right footed
DF,Gabriele Zappa,13.154794,-3.1640606,2,Serie A,21,96% right footed
DF,Davide Zappacosta,28.40139,-1.9107383,1,Serie A,29,87% right footed
DF,Akim Zedadka,19.921541,-3.5025566,2,Ligue 1,26,88% right footed
DF,David Zima,-14.6152115,-5.4319024,0,Serie A,20,79% right footed
DF,Oleksandr Zinchenko,29.013365,-6.5217214,1,Premier League,24,92% left footed
DF,Nadir Zortea,23.313684,0.7192533,1,Serie A,22,82% right footed
DF,Kurt Zouma,-22.030388,0.8751119,0,Premier League,26,82% right footed
DF,Igor Zubeldia,-14.436115,11.182137,3,La Liga,24,94% right footed
MF,Salis Abdul Samed,-13.40936,0.83692855,3,Ligue 1,21,92% right footed
MF,Laurent Abergel,-20.457243,1.2590145,3,Ligue 1,28,91% right footed
MF,Tyler Adams,-12.48002,0.74180055,3,Bundesliga,22,84% right footed
MF,Amine Adli,12.730908,-3.4105604,1,Bundesliga,21,87% left footed
MF,Yacine Adli,15.538175,7.699936,0,Ligue 1,21,89% right footed
MF,Lucien Agoume,-16.507776,4.0948153,3,Ligue 1,19,87% right footed
MF,Kevin Agudelo,-2.7147322,-10.765257,1,Serie A,22,92% left footed
MF,Jean-Eudes Aholou,-4.4392514,2.231122,3,Ligue 1,27,76% left footed
MF,Tomás Alarcón,-12.927694,12.328522,3,La Liga,22,93% right footed
MF,Luis Alberto,19.180506,6.4780726,2,Serie A,28,95% right footed
MF,Thiago Alcántara,-12.668459,-6.942364,0,Premier League,30,93% right footed
MF,Rubén Alcaraz,-19.523504,-1.4515226,0,La Liga,30,85% right footed
MF,Iván Alejo,4.6953344,-5.40667,2,La Liga,26,93% right footed
MF,Carles Aleñá,0.6593592,5.6389465,1,La Liga,23,90% left footed
MF,Allan,-20.322882,3.6611373,3,Premier League,30,90% right footed
MF,Miguel Almirón,-4.90266,-10.243045,3,Premier League,27,96% left footed
MF,Ethan Ampadu,-13.450325,10.985751,3,Serie A,20,83% right footed
MF,Sofyan Amrabat,-17.701895,-0.38472313,3,Serie A,24,95% right footed
MF,Benjamin André,-18.721048,2.8191602,3,Ligue 1,30,85% right footed
MF,Robert Andrich,-12.513423,5.082437,3,Bundesliga,26,79% right footed
MF,Christopher Antwi-Adjei,8.500914,-8.10437,1,Bundesliga,27,78% right footed
MF,Houssem Aouar,21.777328,-0.32773286,2,Ligue 1,23,90% right footed
MF,Adil Aouchiche,-3.268682,-7.5566974,0,Ligue 1,19,85% right footed
MF,Mauro Arambarri,-3.8774564,3.3647532,3,La Liga,25,91% right footed
MF,Mattia Aramu,12.909491,-2.22613,1,Serie A,26,89% left footed
MF,Charles Aránguiz,-19.153708,0.11997383,3,Bundesliga,32,88% right footed
MF,Stuart Armstrong,7.2438903,0.6275504,0,Premier League,29,82% right footed
MF,Maximilian Arnold,-4.259505,-1.0463943,0,Bundesliga,27,78% left footed
MF,Tolgay Arslan,-4.9639435,2.4124134,3,Serie A,30,89% right footed
MF,Takuma Asano,8.52081,-4.1720734,1,Bundesliga,26,67% right footed
MF,Santiago Ascacíbar,-18.052347,6.6487436,3,Bundesliga,24,79% right footed
MF,Marco Asensio,19.1048,-4.9083776,2,La Liga,25,90% left footed
MF,Kristjan Asllani,-9.992351,6.491317,3,Serie A,19,74% right footed
MF,Ezequiel Ávila,10.01592,5.867074,1,La Liga,27,70% right footed
MF,Iddrisu Baba,-18.142384,10.332713,3,La Liga,25,93% right footed
MF,Milan Badelj,-14.052568,3.1823814,3,Serie A,32,83% right footed
MF,Nedim Bajrami,17.300674,1.8869652,2,Serie A,22,92% right footed
MF,Keita Baldé,12.026307,-10.371315,1,Serie A,26,77% right footed
MF,Jonathan Bamba,7.799611,0.9652303,1,Ligue 1,25,90% right footed
MF,Filippo Bandinelli,3.371721,-5.146399,0,Serie A,26,81% left footed
MF,Shandon Baptiste,1.0676919,6.166682,1,Premier League,23,85% right footed
MF,Antonín Barák,19.118689,-6.170296,1,Serie A,26,85% left footed
MF,Enis Bardhi,9.996455,0.1994153,1,La Liga,26,85% right footed
MF,Keidi Bare,-11.52585,6.1127,3,La Liga,23,92% right footed
MF,Nicolò Barella,18.492134,6.0669703,2,Serie A,24,88% right footed
MF,Harvey Barnes,15.919196,-2.6194582,2,Premier League,23,88% right footed
MF,Leandro Barreiro Martins,-7.5464916,-12.336727,3,Bundesliga,21,83% right footed
MF,Musa Barrow,15.898225,-0.07194384,2,Serie A,22,89% right footed
MF,Toma Bašić,-6.116236,11.55795,3,Serie A,24,85% left footed
MF,Simone Bastoni,2.1384099,-5.452236,0,Serie A,24,82% left footed
MF,Rodrigo Battaglia,-18.303774,11.2415085,3,La Liga,30,85% right footed
MF,Christoph Baumgartner,9.896027,-6.9128127,1,Bundesliga,21,85% right footed
MF,Sheraldo Becker,12.673228,3.9950647,2,Bundesliga,26,87% right footed
MF,Haris Belkebla,-12.722289,7.556871,3,Ligue 1,27,84% right footed
MF,Jean-Ricner Bellegarde,-7.752566,-8.707195,0,Ligue 1,23,80% right footed
MF,Jude Bellingham,-3.3517416,-5.9546313,0,Bundesliga,18,83% right footed
MF,Fran Beltrán,-14.459928,1.2040145,3,La Liga,22,91% right footed
MF,Ismaël Bennacer,-13.856733,-6.7908845,0,Serie A,23,89% left footed
MF,Saïd Benrahma,12.013453,-1.4747626,1,Premier League,25,83% right footed
MF,Nabil Bentaleb,-15.772333,4.5383296,3,Ligue 1,26,85% left footed
MF,Rodrigo Bentancur,-18.423895,1.4815356,3,Serie A,24,81% right footed
MF,Álex Berenguer,4.3975687,-7.193366,1,La Liga,26,91% right footed
MF,Jóhann Berg Guðmundsson,6.23426,6.181799,1,Premier League,30,85% left footed
MF,Mitchell van Bergen,5.720357,4.090178,1,Ligue 1,21,92% right footed
MF,Federico Bernardeschi,7.756364,0.3478956,1,Serie A,27,95% left footed
MF,Jason Berthomier,0.32773528,-2.7765496,0,Ligue 1,31,93% left footed
MF,Yves Bissouma,-16.963968,2.9691298,3,Premier League,24,89% right footed
MF,Ludovic Blas,15.349617,-5.4151926,1,Ligue 1,23,87% left footed
MF,Jean-Paul Boëtius,-3.7075198,-4.3278303,0,Bundesliga,27,82% right footed
MF,Quentin Boisgard,4.2065253,0.29680943,1,Ligue 1,24,92% right footed
MF,Giacomo Bonaventura,4.938244,-1.8192278,1,Serie A,31,75% right footed
MF,Federico Bonazzoli,14.67832,-10.682663,1,Serie A,24,84% left footed
MF,Denis Bouanga,14.052573,-4.7876973,1,Ligue 1,26,78% right footed
MF,Hicham Boudaoui,-0.6310569,1.9753449,1,Ligue 1,21,86% right footed
MF,Ryad Boudebouz,2.7978938,-2.4670968,0,Ligue 1,31,85% left footed
MF,Sofiane Boufal,21.56806,1.285768,2,Ligue 1,27,81% right footed
MF,Farid Boulaya,6.3937654,1.1161164,1,Ligue 1,28,87% right footed
MF,Benjamin Bourigeaud,20.518528,5.80752,2,Ligue 1,27,90% right footed
MF,Julian Brandt,18.317764,3.7477148,2,Bundesliga,25,81% right footed
MF,Darko Brašanac,-2.9079142,5.076144,3,La Liga,29,80% right footed
MF,Josip Brekalo,15.970468,0.74540395,2,Serie A,23,85% right footed
MF,Josh Brownhill,-7.306579,5.1295,3,Premier League,25,89% right footed
MF,Marcelo Brozović,-12.6925,-3.59715,0,Serie A,28,82% right footed
MF,Emi Buendía,16.158625,6.2190547,2,Premier League,24,87% right footed
MF,Osman Bukari,14.645229,-3.4816315,1,Ligue 1,22,84% right footed
MF,Jonathan Burkardt,15.571753,-9.670788,1,Bundesliga,21,79% right footed
MF,Gianluca Busio,-19.654781,6.437296,3,Serie A,19,89% right footed
MF,Sergio Busquets,-12.619327,-2.552787,0,La Liga,33,81% right footed
MF,Hakan Çalhanoğlu,20.388733,5.4438386,2,Serie A,27,91% right footed
MF,Daniel Caligiuri,-2.57485,-4.514177,0,Bundesliga,33,85% right footed
MF,Mahdi Camara,-19.245674,5.511826,3,Ligue 1,23,97% right footed
MF,Eduardo Camavinga,-9.743943,-8.932057,0,La Liga,18,93% left footed
MF,José Campaña,-5.7124705,-2.8995817,0,La Liga,28,84% right footed
MF,Emre Can,-15.300626,-0.59530634,3,Bundesliga,27,79% right footed
MF,Sergio Canales,0.020090166,-6.1132736,2,La Liga,30,90% left footed
MF,Antonio Candreva,15.9326315,1.8551004,2,Serie A,34,82% right footed
MF,Pierrick Capelle,-19.819046,5.4737287,3,Ligue 1,34,87% left footed
MF,Étienne Capoue,-10.770899,7.1393375,3,La Liga,33,81% right footed
MF,Gianluca Caprari,17.835508,2.02566,2,Serie A,28,86% right footed
MF,Maxence Caqueret,-19.655773,0.82749534,0,Ligue 1,21,87% right footed
MF,Isaac Carcelen,-13.09814,10.804961,3,La Liga,28,86% right footed
MF,Irvin Cardona,11.964985,-9.494967,1,Ligue 1,23,76% right footed
MF,Yannick Carrasco,14.975727,3.351363,2,La Liga,27,88% right footed
MF,William Carvalho,-10.053314,-3.4690404,0,La Liga,29,84% right footed
MF,Casemiro,-15.976499,-1.8480119,3,La Liga,29,88% right footed
MF,Gaetano Castrovilli,2.0678706,0.20990612,0,Serie A,24,80% right footed
MF,Danilo Cataldi,-10.3200245,0.6380629,0,Serie A,26,79% right footed
MF,Franco Cervi,-7.482732,-11.867022,3,La Liga,27,84% left footed
MF,Xavier Chavalerin,-2.6900082,5.4399276,3,Ligue 1,30,79% left footed
MF,Pedro Chirivella,-9.835905,1.31224,0,Ligue 1,24,89% right footed
MF,Joris Chotard,-9.976427,9.881135,3,Ligue 1,19,84% right footed
MF,Max Christiansen,-15.488347,11.139504,3,Bundesliga,24,95% right footed
MF,Samuel Chukwueze,13.3972845,5.4188786,2,La Liga,22,94% left footed
MF,Pathé Ciss,-17.457527,12.455893,3,La Liga,27,89% right footed
MF,Tom Cleverley,-3.262128,5.6468625,3,Premier League,31,87% right footed
MF,Álex Collado,-2.5978444,-10.837823,0,La Liga,22,88% left footed
MF,Santi Comesaña,-19.855404,0.8013308,3,La Liga,24,84% right footed
MF,Jack Cork,-8.806276,10.981541,3,Premier League,32,89% right footed
MF,Maxwel Cornet,14.212285,-10.501784,1,Premier League,24,79% left footed
MF,Ángel Correa,16.64454,-6.4593925,1,La Liga,26,84% right footed
MF,David Pereira da Costa,16.7925,3.7109673,2,Ligue 1,20,94% right footed
MF,Hélder Costa,3.521501,-9.585663,1,La Liga,27,78% left footed
MF,Lassana Coulibaly,-16.379816,6.17035,3,Serie A,25,95% right footed
MF,Bryan Cristante,-14.968375,0.6170434,3,Serie A,26,88% right footed
MF,Domen Črnigoj,-7.2569265,9.99065,3,Serie A,25,80% right footed
MF,Juan Cuadrado,0.6161843,-6.8569884,0,Serie A,33,88% right footed
MF,Cucho,12.115487,-2.163081,1,Premier League,22,85% right footed
MF,Wylan Cyprien,-2.3834734,-1.6519786,0,Ligue 1,26,84% right footed
MF,Moanes Dabbur,13.535801,-6.246164,1,Bundesliga,29,91% right footed
MF,Mahmoud Dahoud,-3.8715746,-2.6846576,0,Bundesliga,25,88% right footed
MF,Stuart Dallas,-11.9614105,3.7614605,3,Premier League,30,78% right footed
MF,Danilo,-9.190126,7.1215568,3,Serie A,30,91% right footed
MF,Sergi Darder,3.113918,-1.5769994,0,La Liga,27,92% right footed
MF,Vladimír Darida,-2.0238814,0.5694548,0,Bundesliga,30,81% right footed
MF,Kevin De Bruyne,21.352224,3.8501832,2,Premier League,30,89% right footed
MF,Rodrigo De Paul,0.513628,-3.9936938,0,La Liga,27,98% right footed
MF,Alessandro Deiola,-6.981709,10.435082,3,Serie A,25,92% right footed
MF,Kerem Demirbay,-3.6242142,-2.69882,0,Bundesliga,28,82% left footed
MF,Leander Dendoncker,-6.6619444,11.128068,3,Premier League,26,81% right footed
MF,Emmanuel Dennis,15.2713175,-5.2497773,1,Premier League,23,86% right footed
MF,Gerard Deulofeu,18.528511,1.7097484,2,Serie A,27,92% right footed
MF,Kiernan Dewsbury-Hall,-5.2436123,-4.3335166,0,Premier League,22,89% left footed
MF,Federico Di Francesco,11.260872,-8.012694,1,Serie A,27,88% right footed
MF,Francesco Di Tacchio,-9.726543,10.128656,3,Serie A,31,85% left footed
MF,Moussa Diaby,17.03939,0.41038015,2,Bundesliga,22,74% left footed
MF,Ibrahima Diallo,-3.8715706,3.338986,3,Premier League,22,90% right footed
MF,Brahim Díaz,14.11647,-0.1400453,1,Serie A,21,66% right footed
MF,Bamba Dieng,17.072262,-9.758496,1,Ligue 1,21,86% right footed
MF,Javairô Dilrosun,13.033164,-0.19052693,2,Ligue 1,23,86% left footed
MF,Tristan Dingomé,0.91922855,-1.2558619,1,Ligue 1,30,84% left footed
MF,Sofiane Diop,17.80465,3.6223845,2,Ligue 1,21,94% right footed
MF,Nicolás Domínguez,-19.873072,-0.08788616,0,Serie A,23,79% right footed
MF,Niklas Dorsch,-17.103596,6.5850463,3,Bundesliga,23,89% right footed
MF,Abdoulaye Doucouré,-14.142609,5.1109543,3,Premier League,28,89% right footed
MF,Cheick Doucouré,-13.53474,-4.465243,0,Ligue 1,21,94% right footed
MF,Kieran Dowell,6.3239646,-5.500033,1,Premier League,23,84% left footed
MF,Ondrej Duda,8.994196,-1.4828001,1,Bundesliga,26,85% right footed
MF,Jeremy Dudziak,7.4590054,-5.1448116,1,Bundesliga,25,89% left footed
MF,Alfred Duncan,1.4452858,0.0668831,0,Serie A,28,95% left footed
MF,Hugo Duro,10.698997,-11.144584,1,La Liga,21,66% left footed
MF,Paulo Dybala,18.534002,-1.3673639,2,Serie A,27,91% left footed
MF,Éderson,-6.016693,-10.199595,3,Serie A,22,89% right footed
MF,Maximilian Eggestein,-7.355734,4.488157,3,Bundesliga,24,83% right footed
MF,Albin Ekdal,-15.492009,7.5596323,3,Serie A,32,88% right footed
MF,Caleb Ekuban,10.526486,-9.275638,1,Serie A,27,78% right footed
MF,Alberth Elis,15.253612,-8.7814045,1,Ligue 1,25,96% right footed
MF,Elif Elmas,5.5841136,-1.7831335,1,Serie A,21,83% right footed
MF,Mohamed Elyounoussi,9.122084,-7.43015,1,Premier League,26,82% right footed
MF,Adri Embarba,7.3604584,2.6789145,1,La Liga,29,84% right footed
MF,Breel Embolo,14.553029,-6.934503,1,Bundesliga,24,89% right footed
MF,Wataru Endo,-12.274662,4.7913804,3,Bundesliga,28,83% right footed
MF,Christian Eriksen,20.363716,5.754784,2,Premier League,29,73% right footed
MF,Sergio Escudero,-12.533236,12.755676,3,La Liga,31,88% left footed
MF,Fabinho,-12.970995,2.283626,3,Premier League,27,92% right footed
MF,Romain Faivre,15.686752,3.9416144,2,Ligue 1,23,84% left footed
MF,Fali,-13.997171,13.890043,3,La Liga,27,78% right footed
MF,Nabil Fekir,17.185442,3.6475074,2,La Liga,28,90% left footed
MF,João Félix,19.167011,-2.9425185,2,La Liga,21,91% right footed
MF,Bruno Fernandes,18.968521,2.6379433,2,Premier League,26,93% right footed
MF,Álex Fernández,-7.7988863,2.0356257,3,La Liga,28,80% right footed
MF,Fernandinho,-10.573257,-4.1303926,0,Premier League,36,89% right footed
MF,Fernando,-10.380766,8.763059,3,La Liga,34,91% right footed
MF,Salvador Ferrer,-2.9886396,8.820477,3,Serie A,23,91% right footed
MF,Jordan Ferri,-13.835869,-3.260816,0,Ligue 1,29,95% right footed
MF,Fidel,1.8796096,-1.4679257,0,La Liga,31,92% left footed
MF,Alexis Flips,2.5933533,-7.749059,0,Ligue 1,21,80% right footed
MF,Seko Fofana,7.3504257,-0.43924087,1,Ligue 1,26,85% right footed
MF,Youssouf Fofana,-9.293294,-6.074997,0,Ligue 1,22,84% right footed
MF,Thomas Foket,-2.4225638,8.506468,3,Ligue 1,26,88% right footed
MF,Pablo Fornals,1.133484,-4.075874,0,Premier League,25,88% right footed
MF,Emil Forsberg,17.205963,-2.1853828,2,Bundesliga,29,89% right footed
MF,Adam Forshaw,-16.588398,5.423008,3,Premier League,29,86% right footed
MF,Philipp Förster,6.350419,-3.9527185,1,Bundesliga,26,87% left footed
MF,Fransérgio,-12.715453,9.271923,3,Ligue 1,30,85% right footed
MF,Ryan Fraser,10.346316,5.091831,1,Premier League,27,83% right footed
MF,Davide Frattesi,5.5342064,-0.6836922,1,Serie A,21,81% right footed
MF,Fred,-19.020363,-0.082568586,0,Premier League,28,69% left footed
MF,Remo Freuler,-12.25999,-3.659559,0,Serie A,29,86% right footed
MF,Jorge de Frutos,13.449833,-3.341745,1,La Liga,24,88% right footed
MF,Chris Führich,12.666565,1.7546546,2,Bundesliga,23,89% right footed
MF,Angelo Fulgini,6.933262,-0.7652973,1,Ligue 1,24,88% right footed
MF,Manolo Gabbiadini,16.873653,-8.147997,1,Serie A,29,88% left footed
MF,Iñigo Ruiz de Galarreta,-14.102274,2.8988743,3,La Liga,27,90% right footed
MF,Pablo Galdames Millán,-9.401669,-12.352918,3,Serie A,24,90% right footed
MF,Thiago Galhardo,12.037928,-8.435048,1,La Liga,32,79% right footed
MF,Conor Gallagher,0.9938239,-10.184392,1,Premier League,21,92% right footed
MF,Idrissa Gana Gueye,-10.460302,-9.629369,0,Ligue 1,31,91% right footed
MF,Dani García,-10.19522,10.738178,3,La Liga,31,84% right footed
MF,Manu García,2.234495,-2.8748155,0,La Liga,23,95% right footed
MF,Rubén García,11.072112,3.1875813,2,La Liga,28,87% left footed
MF,Johan Gastien,-13.1904745,-2.9161048,0,Ligue 1,33,85% right footed
MF,Dennis Geiger,-4.340414,-1.9189345,0,Bundesliga,23,92% right footed
MF,Yannick Gerhardt,-8.958854,-5.570135,0,Bundesliga,27,80% left footed
MF,Gerson,5.724082,-2.505394,1,Ligue 1,24,84% left footed
MF,Billy Gilmour,-10.711929,1.5697622,3,Premier League,20,93% right footed
MF,Andrei Girotto,-15.953666,12.787245,3,Ligue 1,29,90% right footed
MF,Aleksandr Golovin,16.273424,7.05769,2,Ligue 1,25,88% right footed
MF,Angel Gomes,1.1432815,0.48422575,1,Ligue 1,20,89% right footed
MF,Moi Gómez,10.922498,3.200942,1,La Liga,27,64% right footed
MF,Papu Gómez,9.037237,3.311084,2,La Liga,33,85% right footed
MF,Maxime Gonalons,-16.350185,7.430462,3,La Liga,32,72% right footed
MF,Nicolás González,-8.968997,-8.921735,0,La Liga,19,96% right footed
MF,Anthony Gordon,5.1567664,-7.817251,1,Premier League,20,90% right footed
MF,Leon Goretzka,-1.4595072,-2.7828798,2,Bundesliga,26,93% right footed
MF,Amine Gouiri,17.43758,-3.189873,2,Ligue 1,21,95% right footed
MF,Lucas Gourna-Douath,-16.613443,5.8325367,3,Ligue 1,17,88% right footed
MF,Alberto Grassi,-11.577502,9.698187,3,Serie A,26,83% right footed
MF,Demarai Gray,10.98127,-0.7602113,1,Premier League,25,89% right footed
MF,Julian Green,-5.868931,8.505353,3,Bundesliga,26,85% right footed
MF,Mason Greenwood,16.009377,-2.8401651,2,Premier League,19,77% left footed
MF,Michael Gregoritsch,14.019117,-11.577971,1,Bundesliga,27,68% left footed
MF,Sebastian Griesbeck,-14.582005,13.087753,3,Bundesliga,30,79% right footed
MF,Antoine Griezmann,12.296613,-6.566353,1,La Liga,30,83% left footed
MF,Vincenzo Grifo,17.183914,1.0207267,2,Bundesliga,28,91% right footed
MF,Florian Grillitsch,-15.010199,-1.8881985,3,Bundesliga,25,87% right footed
MF,Pascal Groß,0.4101017,-2.366192,2,Premier League,30,83% right footed
MF,Carlos Gruezo,-14.560766,9.283622,3,Bundesliga,26,93% right footed
MF,Andrés Guardado,-11.051572,5.325284,3,La Liga,34,89% left footed
MF,Nemanja Gudelj,-13.693262,14.322845,3,La Liga,29,97% right footed
MF,Gabriel Gudmundsson,-6.9792547,-8.607237,3,Ligue 1,22,89% left footed
MF,Gonçalo Guedes,15.216306,-1.0226464,2,La Liga,24,91% right footed
MF,Mattéo Guendouzi,-0.695801,-5.942287,0,Ligue 1,22,94% right footed
MF,Pape Gueye,-11.00786,5.542059,3,Ligue 1,22,88% left footed
MF,Josuha Guilavogui,-16.087748,3.1287472,3,Ligue 1,30,89% right footed
MF,Hugo Guillamón,-12.914175,11.392833,3,La Liga,21,80% right footed
MF,Bruno Guimarães,-4.699777,-13.044024,0,Premier League,23,93% right footed
MF,Gerard Gumbau,-5.1322503,4.973319,3,La Liga,26,91% left footed
MF,İlkay Gündoğan,19.44125,-4.7702417,2,Premier League,30,70% right footed
MF,Raúl Guti,-7.9480224,8.421908,3,La Liga,24,97% right footed
MF,Nicolas Haas,-9.459825,-12.307205,0,Serie A,25,83% right footed
MF,Robin Hack,8.16868,-0.23160246,1,Bundesliga,22,88% right footed
MF,André Hahn,9.347335,-8.468203,1,Bundesliga,30,84% right footed
MF,Amadou Haidara,-11.17054,-0.9962906,0,Bundesliga,23,88% right footed
MF,Genki Haraguchi,-4.9541354,3.7413146,3,Bundesliga,30,85% right footed
MF,Amine Harit,16.220661,4.354192,2,Ligue 1,24,92% right footed
MF,Jack Harrison,5.3546834,-6.730097,1,Premier League,24,70% left footed
MF,Kai Havertz,16.01389,-9.29466,1,Premier League,22,76% left footed
MF,Isaac Hayden,-14.85499,11.955194,3,Premier League,26,87% right footed
MF,Hwang Hee-chan,7.3453355,-2.8668666,1,Premier League,25,88% right footed
MF,Jordan Henderson,-6.911984,-2.9026067,0,Premier League,31,86% right footed
MF,Liam Henderson,0.07832853,-0.4094347,1,Serie A,25,87% right footed
MF,Dalbert Henrique,-2.9184332,6.5802913,3,Serie A,27,89% left footed
MF,Matheus Henrique,2.6513813,-0.7690535,0,Serie A,23,91% right footed
MF,Ander Herrera,-11.180606,-5.8712845,0,Ligue 1,31,86% right footed
MF,Yangel Herrera,-19.202858,7.0836997,3,La Liga,23,76% right footed
MF,Son Heung-min,18.980793,-3.7087102,2,Premier League,29,89% right footed
MF,Nicolas Höfler,-14.640927,5.31151,3,Bundesliga,31,67% right footed
MF,Jonas Hofmann,19.569748,1.2084516,2,Bundesliga,29,82% right footed
MF,Pierre Højbjerg,-12.285756,-2.4998007,0,Premier League,25,86% right footed
MF,Lucas Höler,12.352912,-7.509512,1,Bundesliga,27,86% right footed
MF,Gerrit Holtmann,12.202607,0.38552114,1,Bundesliga,26,87% left footed
MF,Franck Honorat,13.309473,1.3012754,2,Ligue 1,24,88% right footed
MF,Ajdin Hrustic,-6.8346567,0.2709805,0,Bundesliga,25,87% left footed
MF,Callum Hudson-Odoi,15.506974,3.0779321,2,Premier League,20,85% right footed
MF,Will Hughes,-12.52973,7.153647,3,Premier League,26,83% left footed
MF,Vicente Iborra,-11.002423,11.176248,3,La Liga,33,81% right footed
MF,Oussama Idrissi,15.1798525,3.0938745,2,La Liga,25,90% right footed
MF,Jonathan Ikone,8.429356,0.27169368,1,Ligue 1,23,91% left footed
MF,Ivan Ilić,-9.250133,5.1856675,3,Serie A,20,92% left footed
MF,Alex Iwobi,2.888676,-5.378411,0,Premier League,25,90% right footed
MF,Lee Jae-sung,0.3464624,-10.71088,0,Bundesliga,28,78% left footed
MF,Kristijan Jakić,-14.558455,6.3227262,3,Bundesliga,24,89% right footed
MF,Daniel James,10.685732,-8.804885,1,Premier League,23,79% right footed
MF,Vitaly Janelt,-6.2108917,1.5665545,3,Premier League,23,82% left footed
MF,Adnan Januzaj,14.592492,2.148733,2,La Liga,26,86% left footed
MF,Mathias Jensen,3.0595224,-6.2293277,0,Premier League,25,78% right footed
MF,João Pedro,9.351736,-1.6249373,1,Premier League,19,87% right footed
MF,Joelinton,-4.273938,1.4701271,3,Premier League,24,81% right footed
MF,Dennis Johnsen,5.7010326,3.8000362,1,Serie A,23,92% right footed
MF,Frenkie de Jong,-1.0160395,-5.975571,0,La Liga,24,94% right footed
MF,Jens Jønsson,-16.400375,9.313878,3,La Liga,28,85% right footed
MF,Joan Jordán,-11.681549,1.355495,3,La Liga,27,86% right footed
MF,Jorginho,-12.054607,-4.8857245,0,Premier League,29,93% right footed
MF,Josan,8.852041,4.5757666,1,La Liga,31,83% right footed
MF,Hamed Junior Traorè,21.777252,-0.011674266,2,Serie A,21,87% right footed
MF,Florian Kainz,12.935056,2.9835029,2,Bundesliga,28,71% right footed
MF,Gaël Kakuta,6.6470737,-6.87291,1,Ligue 1,30,86% left footed
MF,Daichi Kamada,4.653142,-1.0439714,1,Bundesliga,24,84% right footed
MF,Boubacar Kamara,-14.574193,-0.8218468,3,Ligue 1,21,87% right footed
MF,Kevin Kampl,-12.974096,-1.7575746,0,Bundesliga,30,88% right footed
MF,Lee Kangin,8.687266,-0.48127413,1,La Liga,20,89% left footed
MF,N'Golo Kanté,-11.724787,-7.824459,0,Premier League,30,89% right footed
MF,Atakan Karazor,-14.295742,10.293716,3,Bundesliga,24,85% right footed
MF,Grigoris Kastanos,-2.5222635,-3.7607996,0,Serie A,23,78% left footed
MF,Ilan Kebbal,15.331472,6.5190372,2,Ligue 1,23,82% left footed
MF,Wajdi Kechrida,-1.943913,8.691591,1,Serie A,25,94% right footed
MF,Naby Keïta,-11.680395,-8.221993,0,Premier League,26,86% right footed
MF,Franck Kessié,-7.727432,-0.78458154,0,Serie A,24,80% right footed
MF,Saîf-Eddine Khaoui,-0.16538094,3.3426554,1,Ligue 1,26,91% left footed
MF,Wahbi Khazri,15.03278,-7.8879895,1,Ligue 1,30,92% right footed
MF,Rani Khedira,-15.447789,9.191479,3,Bundesliga,27,82% right footed
MF,Joshua Kimmich,0.083815224,-8.537578,0,Bundesliga,26,83% right footed
MF,Jakub Kiwior,-14.891381,11.193009,3,Serie A,21,75% left footed
MF,Sofian Kiyine,23.741741,-1.9018135,0,Serie A,23,89% right footed
MF,Mateusz Klich,-3.1396964,-4.4084225,0,Premier League,31,91% right footed
MF,Justin Kluivert,11.970584,0.69928885,1,Ligue 1,22,84% right footed
MF,Robin Koch,-13.492084,11.85808,3,Premier League,25,89% right footed
MF,Dominik Kohr,-13.906387,5.0449147,3,Bundesliga,27,84% right footed
MF,Koke,-10.582063,0.60845286,0,La Liga,29,92% right footed
MF,Randal Kolo Muani,13.725879,-9.105153,1,Ligue 1,22,93% right footed
MF,Geoffrey Kondogbia,-17.944784,3.525132,3,La Liga,28,85% left footed
MF,Kouadio Koné,-16.705944,0.54311603,3,Bundesliga,20,92% right footed
MF,Teun Koopmeiners,0.65956426,-3.696468,0,Serie A,23,87% left footed
MF,Rominigue Kouamé,-6.4144444,-4.227182,0,Ligue 1,24,88% left footed
MF,Cheikhou Kouyaté,-16.104187,10.73985,3,Premier League,31,92% right footed
MF,Mateo Kovačić,-12.115408,-7.835049,0,Premier League,27,96% right footed
MF,Viktor Kovalenko,-5.727389,6.9629145,3,Serie A,25,90% right footed
MF,Andrej Kramarić,16.405394,-1.7004201,1,Bundesliga,30,84% right footed
MF,Toni Kroos,-0.8193279,-7.423157,0,La Liga,31,85% right footed
MF,Florian Krüger,4.6228642,4.6717134,1,Bundesliga,22,79% right footed
MF,Rade Krunić,-4.0710063,5.0956354,3,Serie A,27,89% right footed
MF,Max Kruse,17.164877,-0.17289427,2,Bundesliga,33,72% left footed
MF,Takefusa Kubo,10.000728,0.6175278,2,La Liga,20,89% left footed
MF,Juraj Kucka,-18.991106,9.55535,3,Premier League,34,79% right footed
MF,Dejan Kulusevski,18.706982,3.6226695,2,Premier League,21,84% left footed
MF,Fabian Kunze,-16.752176,10.951214,3,Bundesliga,23,86% right footed
MF,Alexandre Lacazette,13.018084,-7.541097,1,Premier League,30,89% right footed
MF,Tom Lacoux,-16.185198,9.007388,3,Ligue 1,19,92% right footed
MF,Konrad Laimer,-3.0844536,-8.82538,0,Bundesliga,24,80% right footed
MF,Adam Lallana,-11.08383,2.1847157,3,Premier League,33,73% right footed
